faculty,phase,term,gender,race,grade,count
5,3a,Spring 2018,women,nonURM,A,1
5,3a,Spring 2018,women,nonURM,B,1
6,1a,Fall 2016,men,black,B,2
6,1a,Fall 2016,men,black,C,1
6,1a,Fall 2016,men,black,D,2
6,1a,Fall 2016,men,black,W,1
6,1a,Fall 2016,men,hispanic,A,2
6,1a,Fall 2016,men,hispanic,B,1
6,1a,Fall 2016,men,hispanic,C,1
6,1a,Fall 2016,men,hispanic,W,1
6,1a,Fall 2016,men,nonURM,A,3
6,1a,Fall 2016,men,nonURM,B,4
6,1a,Fall 2016,women,black,B,2
6,1a,Fall 2016,women,nonURM,A,1
6,1a,Fall 2016,women,nonURM,D,1
6,1a,Fall 2016,women,nonURM,W,1
6,1b,Spring 2017,men,black,B,2
6,1b,Spring 2017,men,black,D,2
6,1b,Spring 2017,men,black,F,4
6,1b,Spring 2017,men,black,W,3
6,1b,Spring 2017,men,hispanic,B,1
6,1b,Spring 2017,men,hispanic,C,2
6,1b,Spring 2017,men,hispanic,D,1
6,1b,Spring 2017,men,hispanic,F,1
6,1b,Spring 2017,men,nonURM,A,6
6,1b,Spring 2017,men,nonURM,B,8
6,1b,Spring 2017,men,nonURM,C,4
6,1b,Spring 2017,men,nonURM,D,2
6,1b,Spring 2017,men,nonURM,F,4
6,1b,Spring 2017,men,nonURM,W,2
6,1b,Spring 2017,women,hispanic,A,1
6,1b,Spring 2017,women,hispanic,C,1
6,1b,Spring 2017,women,nonURM,A,1
6,1b,Spring 2017,women,nonURM,C,1
6,1b,Spring 2017,women,nonURM,W,1
6,2a,Fall 2017,men,black,B,3
6,2a,Fall 2017,men,black,C,6
6,2a,Fall 2017,men,black,D,2
6,2a,Fall 2017,men,black,F,1
6,2a,Fall 2017,men,black,W,6
6,2a,Fall 2017,men,hispanic,A,2
6,2a,Fall 2017,men,hispanic,B,1
6,2a,Fall 2017,men,hispanic,C,2
6,2a,Fall 2017,men,hispanic,W,2
6,2a,Fall 2017,men,nonURM,A,7
6,2a,Fall 2017,men,nonURM,B,7
6,2a,Fall 2017,men,nonURM,C,5
6,2a,Fall 2017,men,nonURM,D,3
6,2a,Fall 2017,men,nonURM,F,1
6,2a,Fall 2017,men,nonURM,W,3
6,2a,Fall 2017,women,black,A,2
6,2a,Fall 2017,women,black,B,1
6,2a,Fall 2017,women,black,C,2
6,2a,Fall 2017,women,black,D,2
6,2a,Fall 2017,women,black,F,1
6,2a,Fall 2017,women,nonURM,A,1
6,2a,Fall 2017,women,nonURM,B,2
6,2a,Fall 2017,women,nonURM,D,2
6,3a,Spring 2018,men,black,A,1
6,3a,Spring 2018,men,black,B,3
6,3a,Spring 2018,men,black,C,3
6,3a,Spring 2018,men,black,D,5
6,3a,Spring 2018,men,black,F,4
6,3a,Spring 2018,men,hispanic,A,2
6,3a,Spring 2018,men,hispanic,B,2
6,3a,Spring 2018,men,hispanic,D,1
6,3a,Spring 2018,men,hispanic,W,2
6,3a,Spring 2018,men,natpac,D,1
6,3a,Spring 2018,men,nonURM,A,5
6,3a,Spring 2018,men,nonURM,B,4
6,3a,Spring 2018,men,nonURM,W,4
6,3a,Spring 2018,women,black,F,1
6,3a,Spring 2018,women,black,W,1
6,3a,Spring 2018,women,hispanic,A,1
6,3a,Spring 2018,women,hispanic,F,1
6,3a,Spring 2018,women,nonURM,A,1
6,3a,Spring 2018,women,nonURM,C,1
6,3a,Spring 2018,women,nonURM,F,1
6,3b,Fall 2018,men,black,A,1
